岗位,企业,城市,薪资,经验,学历
java高级开发工程师,杭州米友圈科技有限公司,杭州,18k-25k,3-5年,本科
java开发工程师,杭州觅睿科技股份有限公司,杭州,12k-20k,3-5年,本科
java开发工程师,算话智能科技有限公司,上海,9k-16k,1-3年,本科
Java开发工程师,上海文景信息科技有限公司,北京,12k-20k,3-5年,本科
Java开发工程师,深圳领域天马网络有限公司,深圳,11k-20k,3-5年,大专
java开发工程师,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
java开发工程师,北京外企德科人力资源服务上海有限公司,上海,12k-24k,不限,本科
java开发工程师,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
java开发工程师,科锐尔人力资源服务（苏州）有限公司,西安,15k-30k,不限,本科
java开发工程师,科锐尔人力资源服务（苏州）有限公司,西安,15k-30k,1-3年,本科
java开发工程师,正德人力资源股份有限公司,无锡,13k-16k,1-3年,本科
java高级开发工程师,成都先胜信息科技有限公司,成都,13k-20k,3-5年,本科
高级java开发工程师,前锦网络信息技术（上海）有限公司北京分公司,上海,25k-32k,5-10年,本科
java开发工程师,正德人力资源股份有限公司,上海,15k-25k,1-3年,本科
java开发工程师,北京拉勾网络技术有限公司,北京,18k-25k,3-5年,本科
Java开发工程师,江苏知了信息科技有限公司,常州,12k-18k,3-5年,本科
java开发工程师,北京聚创高科技术有限公司,长沙,6k-12k,1-3年,不限
java架构师（急聘）,深圳市慧择软件集团有限公司,深圳,50k-70k,5-10年,本科
中高级java工程师,瞬沃信息科技（上海）有限公司,上海,12k-18k,3-5年,本科
资深java开发，架构,上海中彦信息科技有限公司,上海,25k-45k,3-5年,本科
java开发工程师（甘肃）,北京健康在线网络技术有限公司,金昌,10k-18k,5-10年,本科
JAVA开发工程师,北京外企德科人力资源服务上海有限公司,深圳,13k-26k,不限,本科
java开发工程师,北京外企德科人力资源服务上海有限公司,南京,15k-30k,3-5年,本科
java开发工程师,科锐尔人力资源服务（苏州）有限公司,西安,15k-30k,1-3年,本科
java开发工程师（甘肃）,北京健康在线网络技术有限公司,金昌,10k-18k,5-10年,本科
ZA Bank ENG-Java开发工程师,众安信息技术服务有限公司,深圳,15k-30k,3-5年,本科
中级java开发工程师,深圳楚星软件有限公司,深圳,10k-14k,3-5年,大专
JAVA后端工程师,北京三快在线科技有限公司,深圳,30k-60k,不限,不限
java高级工程师,星河闪耀信息技术（成都）有限公司,成都,20k-28k,5-10年,本科
java开发工程师(J10208),北京市建筑设计研究院有限公司,北京,15k-25k,1-3年,本科
java开发工程师（银行外包）,京北方信息技术股份有限公司,上海,14k-20k,3-5年,本科
Java开发工程师（宁波银行）,深圳市友点科技有限公司,宁波,13k-16k,3-5年,本科
java开发专家,拼途（北京）信息技术有限公司,北京,25k-40k,5-10年,本科
Java开发工程师【生态合作中心】,深圳兔展智能科技有限公司,深圳,15k-21k,3-5年,本科
中级java开发工程师,加绩（上海）科技服务有限公司,武汉,13k-16k,3-5年,本科
资深后端开发工程师（Java，深圳）,深圳市客路网络科技有限公司,深圳,35k-50k,不限,不限
java开发工程师,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
JAVA开发工程师,北京外企德科人力资源服务上海有限公司,深圳,13k-26k,不限,本科
38612F-JAVA研发工程师（计算）,平安科技（深圳）有限公司,深圳,18k-30k,1-3年,本科
中级java开发工程师,加绩（上海）科技服务有限公司,武汉,13k-16k,3-5年,本科
Java开发-机构资金,上海上湖信息技术有限公司,上海,17k-25k,1-3年,本科
资深后端开发工程师（Java，深圳）,深圳市客路网络科技有限公司,深圳,35k-50k,不限,不限
高级/资深JAVA工程师（策略） (MJ008304),广州希音供应链管理有限公司,深圳,20k-40k,3-5年,本科
java开发工程师（大数据平台）,上海引旅信息技术服务有限公司,上海,12k-18k,1-3年,本科
JAVA架构师/JAVA高级开发,广东美的制冷设备有限公司,武汉,25k-40k,不限,本科
高级java工程师--惠州,深圳市同和信息技术有限公司,惠州,15k-18k,5-10年,本科
高级java工程师--保险项目,深圳市同和信息技术有限公司,上海,17k-19k,5-10年,本科
java工程师（中高级）,广州群接龙网络科技有限公司,广州,15k-22k,3-5年,本科
086144-Java开发工程师,平安养老保险股份有限公司,上海,15k-25k,3-5年,本科
Java高级开发工程师（Insurance）,深圳市客路网络科技有限公司,深圳,20k-35k,不限,不限
中高级java开发工程师,中电金信软件有限公司,北京,15k-20k,3-5年,本科
初中级JAVA工程师,杭州雅拓信息技术有限公司,杭州,10k-20k,1-3年,本科
Java开发工程师-X6063C,北京鸿盈信息技术有限公司,北京,15k-30k,5-10年,本科
Java开发工程师（高级）,深圳松茂科技有限公司,深圳,18k-22k,5-10年,大专
高级Java服务端（新月同行）,深圳市尚游网络科技有限公司,深圳,18k-30k,3-5年,本科
基础业务-Java技术专家,北京三快在线科技有限公司,北京,40k-60k,不限,不限
初中高级Java开发（银行项目）,京北方信息技术股份有限公司,上海,14k-20k,3-5年,本科
初级java开发工程师,彩讯科技股份有限公司,杭州,10k-13k,1-3年,本科
Java开发工程师 - 金融支付,深圳圆璧科技有限公司,深圳,25k-40k,5-10年,本科
中级java开发工程师,京北方信息技术股份有限公司,珠海,13k-18k,3-5年,大专
中级java工程师,上海马帮科技有限公司,上海,15k-22k,3-5年,本科
资深java研发工程师,行吟信息科技（上海）有限公司,北京,25k-50k,3-5年,本科
Java工程师（FLK）,杭州安恒信息技术股份有限公司,杭州,15k-25k,3-5年,本科
Java开发工程师(A92604),北京汇通天下物联科技有限公司,北京,15k-28k,3-5年,本科
java开发工程师（杭州银行）,浙江优创信息技术有限公司,杭州,10k-13k,1-3年,本科
中级java开发工程师,成都卡社诺网络技术有限责任公司,成都,12k-20k,3-5年,本科
基础业务-Java技术专家,北京三快在线科技有限公司,北京,40k-60k,不限,不限
初级java开发工程师,彩讯科技股份有限公司,杭州,10k-13k,1-3年,本科
Java开发工程师 - 金融支付,深圳圆璧科技有限公司,深圳,25k-40k,5-10年,本科
java开发Leader - 金融支付方向,深圳圆璧科技有限公司,深圳,40k-80k,10年以上,本科
Java&amp;Php开发工程师（高级）,深圳松茂科技有限公司,深圳,18k-23k,5-10年,大专
中级java开发工程师,京北方信息技术股份有限公司,珠海,13k-18k,3-5年,大专
中级java工程师,上海马帮科技有限公司,上海,15k-22k,3-5年,本科
Java工程师（FLK）,杭州安恒信息技术股份有限公司,杭州,15k-25k,3-5年,本科
资深java研发工程师,行吟信息科技（上海）有限公司,北京,25k-50k,3-5年,本科
Java开发专家(WMS),上海阑途信息技术有限公司,上海,35k-55k,5-10年,本科
java开发工程师（杭州银行）,浙江优创信息技术有限公司,杭州,10k-13k,1-3年,本科
KFB-后台开发工程师（JAVA金融系统） (MJ000762),深圳前海微众银行股份有限公司,深圳,15k-25k,3-5年,本科
高级Java开发工程师 (MJ010928),鸿鹄云飞科技（深圳）有限公司,深圳,20k-30k,5-10年,本科
java工程师888888-Y5050A,美的集团股份有限公司,南京,5k-7k,不限,硕士
java架构师,恩士迅信息科技（中国）有限责任公司,成都,15k-20k,3-5年,本科
高级Java开发工程师(平台消费)-【主站】,北京达佳互联信息技术有限公司,北京,30k-60k,不限,本科
Java开发工程师（推荐方向） (MJ001868),成都极米科技股份有限公司,成都,15k-25k,3-5年,本科
高级Java开发工程师（云易） (MJ000093),福建博思软件股份有限公司,福州,15k-20k,5-10年,本科
广告投放Java开发专家-【海外技术】,北京达佳互联信息技术有限公司,北京,35k-55k,5-10年,本科
Java开发工程师（IM方向） (MJ000220),美琦佳成网络科技有限公司,广州,20k-35k,不限,本科
Java（韩语）,中电金信软件有限公司,北京,16k-23k,5-10年,本科
中级java开发工程师,北京泰斯听科技有限公司,拉萨,15k-30k,不限,本科
java架构师,深圳圆璧科技有限公司,深圳,40k-60k,10年以上,本科
09614Y-Java工程师,平安健康保险股份有限公司,上海,15k-20k,1年以下,本科
初级java开发工程师,医利捷（上海）信息科技有限公司,合肥,8k-13k,1-3年,本科
java架构师,深圳彩橙树信息科技有限公司,深圳,25k-35k,5-10年,本科
高级Java（crm和消息平台） (MJ003662),广州希音供应链管理有限公司,深圳,20k-30k,3-5年,本科
java架构师,湖北聚游科技有限公司,武汉,14k-25k,5-10年,本科
高级JAVA工程师（财务） (MJ007917),广州希音供应链管理有限公司,南京,20k-28k,5-10年,本科
Java开发工程师 (MJ001833),成都极米科技股份有限公司,成都,15k-20k,3-5年,本科
C/C++/java/Python,华为技术有限公司,武汉,12k-24k,1-3年,本科
Java性能分析工具研发工程师,抖音视界（北京）有限公司,杭州,25k-50k,不限,本科
Java性能分析工具研发工程师,抖音视界（北京）有限公司,上海,25k-50k,不限,本科
智能办公平台-Java后端开发负责人,美的集团股份有限公司,佛山,45k-60k,5-10年,本科
Java开发工程师 (商业云平台),成都恩希云科技有限公司,成都,11k-20k,3-5年,本科
高级后端开发（Go/Java）,深圳市客路网络科技有限公司,深圳,25k-50k,5-10年,本科
java架构师,圆通速递有限公司,上海,25k-40k,5-10年,本科
Java资深开发工程师,五八同城信息技术有限公司,北京,30k-60k,3-5年,本科
后端开发工程师-java,广东美的制冷设备有限公司,佛山,15k-25k,5-10年,本科
09613I-理赔Java工程师（专场）,平安健康保险股份有限公司,上海,15k-25k,1-3年,本科
短视频营运推广平台高级JAVA开发工程师,杭州龙席网络科技股份有限公司,杭州,22k-35k,3-5年,本科
高级JAVA开发,广东亿迅科技有限公司,广州,13k-20k,3-5年,本科
java架构师,广东美的制冷设备有限公司,武汉,25k-50k,10年以上,本科
java高级工程师,上海速强信息技术股份有限公司,上海,13k-18k,3-5年,大专
资深java工程师（支付清结算）,上海绘享网络科技有限公司,上海,20k-35k,5-10年,本科
java讲师,成都蜗牛创想科技有限公司,南京,18k-22k,3-5年,本科
java运维工程师,淘礼礼贸易（深圳）有限公司,深圳,8k-12k,1-3年,本科
java架构师,湖南微步信息科技有限责任公司,长沙,18k-35k,5-10年,本科
09613A-保单服务java工程师（专场）,平安健康保险股份有限公司,上海,15k-25k,3-5年,本科
中级Java工程师-互联网-通话团队（广州）,北京合力亿捷科技股份有限公司,广州,10k-13k,3-5年,本科
java开发【韩语流利】,友邦资讯科技（广州）有限公司,北京,20k-35k,5-10年,本科
Java高级开发工程师 (MJ008551),北京搜狐新媒体信息技术有限公司,天津,15k-25k,1-3年,本科
中级java开发工程师,加绩（上海）科技服务有限公司,上海,17k-18k,3-5年,本科
11610T-资深Java开发工程师,平安科技（深圳）有限公司,深圳,15k-30k,5-10年,本科
Java研发工程师（海外用户增长-社交营销方向）,上海寻梦信息技术有限公司,上海,25k-50k,不限,本科
java后端开发工程师,亚信科技（中国）有限公司,北京,12k-20k,3-5年,本科
java开发组长/项目经理,京北方信息技术股份有限公司,成都,15k-24k,10年以上,本科
资深Java工程师（供应链） (MJ007694),广州希音供应链管理有限公司,广州,28k-40k,5-10年,本科
java架构师(j10352),深圳市捷顺科技实业股份有限公司,深圳,30k-40k,5-10年,本科
Java开发工程师（交付中心） (MJ000847),赞同科技股份有限公司,深圳,12k-20k,3-5年,本科
高级Java开发工程师 -【视频架构】,北京达佳互联信息技术有限公司,北京,25k-45k,3-5年,本科
Java web工程师,广州中望龙腾软件股份有限公司,广州,15k-25k,3-5年,本科
Java开发专家（公共服务）,上海阑途信息技术有限公司,上海,40k-55k,5-10年,本科
服务端工程师 （Java）,抖音视界（北京）有限公司,北京,20k-40k,3-5年,本科
java中级软件工程师,深圳太极数智技术有限公司,深圳,15k-20k,3-5年,本科
JAVA工程师 (MJ000178),上海杉欣科技发展（集团）有限公司,长春,9k-13k,1-3年,本科
高级java工程师,广州希音供应链管理有限公司,广州,15k-30k,3-5年,本科
java后台开发工程师,广东智源信息技术有限公司,广州,6k-12k,1年以下,本科
Java软件开发工程师,MicroWorld株式会社,海外,18k-35k,不限,本科
JAVA开发（银行+双休+平时有加班费）,深圳市汇合发展有限公司,深圳,15k-26k,3-5年,本科
java软件工程师,浙江保融科技股份有限公司,杭州,13k-25k,3-5年,本科
08610U-高级java开发工程师,平安养老保险股份有限公司,上海,15k-25k,1-3年,本科
中级Java开发工程师,广州华资软件技术有限公司,广州,10k-15k,1-3年,本科
研发专家（Java/C++/GO后台开发方向）,天翼云科技有限公司,广州,30k-50k,10年以上,本科
中高级java开发工程师,京北方信息技术股份有限公司,广州,11k-20k,3-5年,本科
Java工程师（台州）,威富通科技有限公司,台州,7k-14k,1-3年,本科
Java 技术专家--交易场域组-招选搭投方向,行吟信息科技（上海）有限公司,上海,40k-75k,5-10年,本科
java软件工程师（移动端）,深圳达实旗云健康科技有限公司,深圳,15k-20k,3-5年,本科
java开发工程师(j10000),上海美市科技有限公司,上海,15k-25k,3-5年,本科
后端开发工程师-Java-X2853Y,美的集团股份有限公司,武汉,15k-25k,3-5年,本科
JAVA开发工程师(009256),中信银行股份有限公司信用卡中心,深圳,20k-40k,3-5年,本科
java开发专家,杭州当贝网络科技有限公司,杭州,15k-25k,5-10年,本科
高级后端开发工程师-Java-S3692D,美的集团股份有限公司,佛山,15k-25k,3-5年,本科
Java技术专家（数据平台）,山景智能（北京）科技有限公司,北京,30k-60k,5-10年,本科
中高级java开发工程师,上海收钱吧互联网科技股份有限公司,苏州,25k-35k,5-10年,本科
Java软件工程师-运通国际,广州广电运通金融电子股份有限公司,广州,7k-12k,不限,本科
Java开发工程师（devops方向）(009209),中信银行股份有限公司信用卡中心,深圳,25k-35k,1-3年,本科
大数据应用研发工程师（JAVA）,丰图科技（深圳）有限公司,深圳,25k-45k,5-10年,本科
java自动化测试,维恩贝特科技有限公司,深圳,12k-15k,3-5年,大专
资深java开发工程师,北京默契破冰科技有限公司,北京,35k-55k,5-10年,本科
后端开发工程师-Java-U4950I,美的集团股份有限公司,佛山,15k-25k,3-5年,本科
高级后端开发工程师-Java-S3692D,美的集团股份有限公司,佛山,15k-25k,3-5年,本科
115169-资深Java开发工程师,平安科技（深圳）有限公司,深圳,15k-30k,5-10年,本科
自动化测试工程师（web、接口自动化；python/java）,上海亘岩网络科技有限公司,上海,15k-30k,3-5年,本科
高级/资深Java开发工程师,五八同城信息技术有限公司,北京,25k-50k,不限,本科
java后端开发工程师（远程居家办公）,上海威弘信息科技有限公司,上海,15k-22k,3-5年,本科
赴日 JAVA工程师,ネットエンジン株式会社,海外,15k-30k,1-3年,本科
java工程师/专家,上海寻梦信息技术有限公司,上海,20k-40k,不限,本科
Java开发工程师（北京）,北京石头世纪科技股份有限公司,北京,20k-35k,3-5年,本科
中级java工程师,上海速强信息技术股份有限公司,上海,12k-14k,3-5年,本科
JAVA开发工程师-数字人民币,北银金融科技有限责任公司,北京,15k-30k,3-5年,本科
java技术经理,上海碧蔓智能科技有限公司,上海,20k-30k,5-10年,本科
配送技术-java架构师,北京三快在线科技有限公司,北京,35k-60k,5-10年,本科
JAVA工程师（会员营销方向）(JYXY1),多点生活（中国）数字科技有限公司,武汉,12k-20k,3-5年,本科
Java高级工程师（会员营销方向）(Q0444),多点生活（中国）数字科技有限公司,武汉,20k-30k,5-10年,本科
Java开发工程师（上海）,北京石头世纪科技股份有限公司,上海,20k-35k,3-5年,本科
中级java工程师,上海速强信息技术股份有限公司,上海,12k-14k,3-5年,本科
高级Java工程师(J12103),上海中通吉网络技术有限公司,上海,20k-40k,5-10年,本科
Java高级工程师,亿咖通（湖北）技术有限公司,杭州,25k-40k,3-5年,本科
资深后台开发工程师-JAVA（机器学习平台） (MJ007309),广州希音供应链管理有限公司,深圳,35k-45k,5-10年,本科
java开发工程师（中级）,上海文沥信息技术有限公司,上海,13k-20k,3-5年,本科
Java架构师(J27875),五八同城信息技术有限公司,北京,30k-40k,5-10年,本科
java项目经理,杭州雅拓信息技术有限公司,杭州,20k-35k,5-10年,本科
Java开发工程师-V4658L,北京致远互联软件股份有限公司,成都,10k-20k,5-10年,本科
JAVA工程师 福利好(100023),深圳市汇合发展有限公司,杭州,13k-23k,3-5年,本科
高级java工程师（财务方向）,广州希音供应链管理有限公司,南京,20k-25k,5-10年,本科
java开发,上海集度汽车有限公司,北京,25k-45k,3-5年,本科
Java技术专家-服务管控 (MJ000183),北京白龙马云行科技有限公司,北京,30k-45k,5-10年,本科
java架构师-自研16薪,深圳市慧择软件集团有限公司,深圳,50k-70k,5-10年,本科
java开发工程师（财务天平）-【商业平台研发组】,北京达佳互联信息技术有限公司,北京,25k-45k,3-5年,本科
java工程师（14-16薪-线上面试）,西安人瑞网络科技有限公司,南京,15k-30k,1-3年,本科
java架构师/技术专家,友邦资讯科技（广州）有限公司,广州,28k-36k,10年以上,本科
Java开发-【数据平台】,行吟信息科技（上海）有限公司,上海,30k-60k,3-5年,本科
java架构师(j11013),五八同城信息技术有限公司,北京,35k-50k,5-10年,本科
游戏java工程师,成都淇酷文化传媒有限公司,成都,12k-20k,1-3年,大专
Java开发工程师（中级/高级）,深圳市金证科技股份有限公司,成都,15k-30k,3-5年,本科
Senior Java Developer(O7954),多点生活（中国）数字科技有限公司,成都,18k-30k,5-10年,本科
java后端架构师,成都普朗克科技有限公司,成都,18k-25k,5-10年,本科
java后端开发,好喔科技（北京）有限公司,北京,17k-20k,3-5年,本科
java资深架构师,北京卓越晨星科技有限公司,成都,20k-35k,5-10年,本科
java开发工程师（长沙）,广州海颐软件有限公司,长沙,7k-14k,1-3年,本科
java中高级开发工程师,フューテック株式会社,北京,25k-50k,3-5年,本科
java开发工程师-pos,国药控股国大药房有限公司,上海,10k-15k,1-3年,本科
java系统架构师,杭州雅拓信息技术有限公司,杭州,22k-35k,5-10年,本科
高级java工程师-财务方向,北京白龙马云行科技有限公司,北京,30k-60k,3-5年,本科
